id,case_number,date,block,iucr,primary_type,description,location_description,arrest,domestic,beat,district,ward,community_area,fbi_code,x_coordinate,y_coordinate,year,updated_on,latitude,longitude,location,:@computed_region_awaf_s7ux,:@computed_region_6mkv_f3dw,:@computed_region_vrxf_vc4k,:@computed_region_bdys_3d7i,:@computed_region_43wa_7qmu,:@computed_region_rpca_8um6,:@computed_region_d9mm_jgwp,:@computed_region_d3ds_rm58,:@computed_region_8hcu_yrd4
13908643,JJ343563,2025-07-21T22:19:00.000,059XX S WASHTENAW AVE,1020,ARSON,BY FIRE,RESIDENCE,False,False,0824,008,16,66,09,1159392,1865172,2025,2025-07-29T15:42:06.000,41.785750062,-87.691136568,"{'latitude': '41.785750062', 'longitude': '-87.691136568', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",19,21867,64,111,2,58,13,269,16
13908546,JJ343557,2025-07-21T22:15:00.000,007XX E 84TH PL,143A,WEAPONS VIOLATION,UNLAWFUL POSSESSION - HANDGUN,STREET,True,False,0632,006,6,44,15,1182771,1849016,2025,2025-07-29T15:42:06.000,41.740905227,-87.605919502,"{'latitude': '41.740905227', 'longitude': '-87.605919502', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",31,21546,40,140,32,61,20,241,4
13909235,JJ344434,2025-07-21T22:15:00.000,021XX W 63RD ST,0460,BATTERY,SIMPLE,APARTMENT,False,False,0726,007,16,67,08B,1163273,1862841,2025,2025-07-29T15:42:06.000,41.779273063,-87.676972155,"{'latitude': '41.779273063', 'longitude': '-87.676972155', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",44,22257,65,274,2,23,17,205,16
13908570,JJ343564,2025-07-21T22:09:00.000,021XX W NORWOOD ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,ALLEY,True,True,2413,024,40,2,08B,1161104,1940286,2025,2025-07-29T15:42:06.000,41.991834,-87.682771537,"{'latitude': '41.991834', 'longitude': '-87.682771537', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",46,4450,20,43,24,50,11,52,40
13908972,JJ344134,2025-07-21T22:00:00.000,008XX N BISHOP ST,0760,BURGLARY,BURGLARY FROM MOTOR VEHICLE,STREET,False,False,1213,012,27,24,06,1166591,1905601,2025,2025-07-29T15:42:06.000,41.896540576,-87.66358565,"{'latitude': '41.896540576', 'longitude': '-87.66358565', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",41,22620,25,484,41,49,15,60,27
13909874,JJ343726,2025-07-21T22:00:00.000,044XX N BROADWAY,0420,BATTERY,AGGRAVATED - KNIFE / CUTTING INSTRUMENT,SIDEWALK,False,False,1913,019,46,3,04B,1168469,1929861,2025,2025-07-29T15:42:06.000,41.963070794,-87.655984213,"{'latitude': '41.963070794', 'longitude': '-87.655984213', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",37,22616,31,241,39,15,5,6,46
13908737,JJ343769,2025-07-21T22:00:00.000,004XX W 99TH PL,0760,BURGLARY,BURGLARY FROM MOTOR VEHICLE,STREET,False,False,2232,022,9,73,06,1175016,1838931,2025,2025-07-29T15:42:06.000,41.713406998,-87.634632954,"{'latitude': '41.713406998', 'longitude': '-87.634632954', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",30,21861,72,593,43,19,9,253,11
13909716,JJ344885,2025-07-21T22:00:00.000,075XX S INDIANA AVE,2820,OTHER OFFENSE,TELEPHONE THREAT,APARTMENT,False,True,0623,006,6,69,08A,1178903,1855029,2025,2025-07-29T15:42:06.000,41.757494439,-87.619908754,"{'latitude': '41.757494439', 'longitude': '-87.619908754', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",31,21546,67,475,32,61,20,228,4
13908738,JJ343765,2025-07-21T22:00:00.000,007XX W 73RD ST,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,False,False,0732,007,6,68,14,1172446,1856463,2025,2025-07-29T15:42:06.000,41.761574017,-87.643530544,"{'latitude': '41.761574017', 'longitude': '-87.643530544', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",17,21559,66,511,32,11,17,214,4
13908752,JJ343777,2025-07-21T22:00:00.000,014XX S CHRISTIANA AVE,0810,THEFT,OVER $500,STREET,False,False,1021,010,24,29,06,1154267,1892829,2025,2025-07-29T15:42:06.000,41.861747967,-87.709190774,"{'latitude': '41.861747967', 'longitude': '-87.709190774', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",36,21569,30,34,14,57,21,153,24
13910111,JJ345394,2025-07-21T22:00:00.000,025XX E 81ST ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,False,True,0422,004,7,46,08B,1194685,1851759,2025,2025-07-29T15:42:06.000,41.748147601,-87.562178268,"{'latitude': '41.748147601', 'longitude': '-87.562178268', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",43,21202,42,478,37,25,19,234,5
13908896,JJ343984,2025-07-21T22:00:00.000,060XX N GREENVIEW AVE,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,False,False,2433,024,48,77,07,1165227,1940097,2025,2025-07-29T15:42:06.000,41.99122843,-87.667611363,"{'latitude': '41.99122843', 'longitude': '-87.667611363', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",40,4451,76,536,16,14,11,50,48
13917364,JJ353460,2025-07-21T21:55:00.000,070XX S VERNON AVE,0890,THEFT,FROM BUILDING,APARTMENT,False,False,0322,003,6,69,06,1180466,1858385,2025,2025-07-31T15:42:52.000,41.766667946,-87.614077781,"{'latitude': '41.766667946', 'longitude': '-87.614077781', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",31,22260,67,480,32,60,18,211,4
13911818,JJ347404,2025-07-21T21:50:00.000,043XX N NARRAGANSETT AVE,2826,OTHER OFFENSE,HARASSMENT BY ELECTRONIC MEANS,SCHOOL - PUBLIC GROUNDS,False,False,1632,016,38,17,26,1132905,1928088,2025,2025-07-29T15:42:06.000,41.958902502,-87.786783523,"{'latitude': '41.958902502', 'longitude': '-87.786783523', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",25,22254,15,131,19,52,12,15,38
13908613,JJ343551,2025-07-21T21:49:00.000,008XX N MONTICELLO AVE,041A,BATTERY,AGGRAVATED - HANDGUN,SIDEWALK,False,True,1112,011,27,23,04B,1151896,1905436,2025,2025-07-29T15:42:06.000,41.896389901,-87.717562334,"{'latitude': '41.896389901', 'longitude': '-87.717562334', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",41,4299,24,456,46,5,16,66,27
13908803,JJ343542,2025-07-21T21:45:00.000,098XX S HALSTED ST,1320,CRIMINAL DAMAGE,TO VEHICLE,GAS STATION,False,False,2223,022,21,73,14,1172710,1839701,2025,2025-07-29T15:42:06.000,41.71557103,-87.643055717,"{'latitude': '41.71557103', 'longitude': '-87.643055717', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",18,21861,72,592,22,19,9,243,21
13908554,JJ343568,2025-07-21T21:44:00.000,041XX W POTOMAC AVE,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,False,True,2534,025,37,23,07,1148610,1908341,2025,2025-07-29T15:42:06.000,41.904425604,-87.729556209,"{'latitude': '41.904425604', 'longitude': '-87.729556209', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",4,4299,24,286,45,5,6,194,37
13909340,JJ344415,2025-07-21T21:40:00.000,005XX N ST LOUIS AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,VEHICLE NON-COMMERCIAL,False,False,1121,011,27,23,14,1152953,1903397,2025,2025-07-29T15:42:06.000,41.890773801,-87.713734226,"{'latitude': '41.890773801', 'longitude': '-87.713734226', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",41,21572,24,584,46,30,16,65,27
13908609,JJ343531,2025-07-21T21:36:00.000,009XX N MONTICELLO AVE,0560,ASSAULT,SIMPLE,STREET,False,True,1112,011,27,23,08A,1151875,1906066,2025,2025-07-29T15:42:06.000,41.898119097,-87.717622858,"{'latitude': '41.898119097', 'longitude': '-87.717622858', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",41,4299,24,456,46,5,16,66,27
13909294,JJ343543,2025-07-21T21:32:00.000,011XX W LUNT AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,STREET,False,True,2431,024,49,1,08B,1167082,1946663,2025,2025-07-29T15:42:06.000,42.009205885,-87.660598461,"{'latitude': '42.009205885', 'longitude': '-87.660598461', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",3,21853,10,267,5,9,11,39,49
13909489,JJ344295,2025-07-21T21:30:00.000,006XX N STATE ST,0810,THEFT,OVER $500,CTA BUS STOP,False,False,1832,018,42,8,06,1176261,1904304,2025,2025-07-29T15:42:06.000,41.892768909,-87.628108939,"{'latitude': '41.892768909', 'longitude': '-87.628108939', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",22,21182,37,626,36,6,14,74,42
13912085,JJ343643,2025-07-21T21:30:00.000,022XX W DIVISION ST,0484,BATTERY,"PROTECTED EMPLOYEE - HANDS, FISTS, FEET, NO / MINOR INJURY",HOSPITAL BUILDING / GROUNDS,False,False,1212,012,1,24,08B,1161104,1907941,2025,2025-07-29T15:42:06.000,41.903077492,-87.683673325,"{'latitude': '41.903077492', 'longitude': '-87.683673325', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",16,21560,25,541,11,4,15,63,1
13908811,JJ343870,2025-07-21T21:30:00.000,028XX N CENTRAL PARK AVE,0530,ASSAULT,AGGRAVATED - OTHER DANGEROUS WEAPON,RESIDENCE - PORCH / HALLWAY,False,False,1412,014,35,21,04A,1151902,1918464,2025,2025-07-29T15:42:06.000,41.932139794,-87.71719655,"{'latitude': '41.932139794', 'longitude': '-87.71719655', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",15,22535,22,55,12,39,7,168,35
13908713,JJ343742,2025-07-21T21:30:00.000,070XX S EMERALD AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,False,False,0732,007,6,68,14,1172524,1858180,2025,2025-07-29T15:42:06.000,41.766283958,-87.643194177,"{'latitude': '41.766283958', 'longitude': '-87.643194177', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",31,21559,66,479,32,11,17,214,4
13908642,JJ343605,2025-07-21T21:25:00.000,063XX S CLAREMONT AVE,0560,ASSAULT,SIMPLE,OTHER (SPECIFY),False,False,0825,008,16,66,08A,1161829,1862607,2025,2025-07-29T15:42:06.000,41.778661058,-87.68227253,"{'latitude': '41.778661058', 'longitude': '-87.68227253', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",44,22257,64,370,2,23,13,274,16
13908547,JJ343549,2025-07-21T21:24:00.000,039XX W ROOSEVELT RD,0470,PUBLIC PEACE VIOLATION,RECKLESS CONDUCT,STREET,True,False,1011,010,24,29,24,1150133,1894416,2025,2025-07-29T15:42:06.000,41.86618435,-87.724324771,"{'latitude': '41.86618435', 'longitude': '-87.724324771', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",36,21572,30,98,14,30,16,142,24
